Accession,Description,"Abundances (Grouped): F1, 126","Abundances (Grouped): F1, 127N","Abundances (Grouped): F1, 127C","Abundances (Grouped): F1, 128N","Abundances (Grouped): F1, 128C","Abundances (Grouped): F1, 129N","Abundances (Grouped): F1, 129C","Abundances (Grouped): F1, 130N","Abundances (Grouped): F1, 130C","Abundances (Grouped): F1, 131N","Abundances (Grouped): F1, 131C"
Q13813,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",207762255.9,148803636.5,154073749.2,156056479.2,171222838.2,173727756,133098348.9,169787476,121330067.5,167218365.8,209442159.5
Q16555,Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1,205176569.2,173454653.3,167846647,186344906.9,215616892.1,186529923.8,152758801.2,180837359,133812226.9,168630920.4,200552027.2
Q13885,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1,266519757.3,232507021.6,213470698.9,225147727,273767830,249190294.8,203298827.9,237915749.1,172877973.1,242301122.3,272515072.5
Q9BVA1,Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1,86480.10645,72337.36597,57792.53394,60618.55225,102396.3677,92221.02246,62662.05249,77662.20117,50566.89185,55077.31714,85182.10547
P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,140380596.7,102370949,78124106.79,97878479.58,133752837.2,111059699.8,83236479.44,100282787.4,75754099.5,114161961.6,106381105.6
P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",55113643.96,40112898.53,47944733.93,38099456.59,55157769.58,57082173.42,55217051.17,56368754.48,41173128.03,42535767.02,52470552.69
P04350,Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2,131552571.8,124555539.1,134259800,136380269.9,165846518.9,137440722.9,123380381.4,155271862.8,111168011.2,116806953.3,144559727.2
P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,245235629.3,189159334.5,169841847.3,200724966.6,225773164.4,199583198.4,149021492.7,179864479.1,128900683.3,170554661,208248265.9
P13637,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens OX=9606 GN=ATP1A3 PE=1 SV=3,144639223.1,114900478.4,109416939.3,126606303.4,116394390.1,128942938.4,93325269.57,114820755.8,88788966.65,112454219.4,167187643.9
P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,61674731.11,45554655.37,44934974.38,47283015.72,49561271.06,49665208.24,45487448.84,52265831.29,38001982.3,51828094.88,47754545.27
Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,378736492.6,353300197.4,308423201.2,334039763.5,428369982.2,359740448.4,277238810.8,346146293,250884432.6,308770875.2,361182531.3
P07196,Neurofilament light polypeptide OS=Homo sapiens OX=9606 GN=NEFL PE=1 SV=3,150218013,128220667,91015271.88,126050784.8,225848134.2,113500321.7,84980404.05,88703940.58,79453666.58,64480599.83,94519139.07
Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",101453834.9,77028735.16,81728077.45,82659742.69,84716963.03,89645342.51,69673216.79,80868052.04,62571266.63,80428537.19,103057134
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,47155832.67,37076115.82,37128672.05,45170229.4,44331249.14,44961258.76,32963203.88,37641720.69,29996048.27,41195779.97,55457061.13
P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,166191671.8,158644566,165346771.7,180071702.9,158374647.9,164160836.6,126342486.4,164835785.2,109723200.4,131041758.1,174291448.6
P07197,Neurofilament medium polypeptide OS=Homo sapiens OX=9606 GN=NEFM PE=1 SV=3,146317605,126336423.1,92535128.36,119442130.1,233722843.1,115303308.8,86738746.77,89773858.13,84255462.41,64296229.62,102038537.1
P50993,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Homo sapiens OX=9606 GN=ATP1A2 PE=1 SV=1,32499258.86,21746812.9,22801172.38,26917927.17,22580256.22,28014004.2,24893720.81,23405645.4,19599496,26453548.39,37295414.99
P09104,Gamma-enolase OS=Homo sapiens OX=9606 GN=ENO2 PE=1 SV=3,112709590,92912427.29,89139543.08,98512363.22,99194288.32,100526610.4,78116596.62,101648845.4,69644650.29,91143579.71,113352452.9
Q13509,Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2,27557684.17,24255509.31,25059769.75,25836103.93,24820152.4,25413434.03,20986870.8,28759606.97,18737976.39,23930541.73,29743686.9
P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,127344290.1,99853509.09,108364183.6,112596229.9,122366395,117623398,96632031.99,107412251,80831721.09,104121210.3,148608575.6
P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",75120160.77,57791001.51,63076147.58,64424181.71,56350701.17,67434958.14,52536527.18,67255560.62,43942237.81,61231551.07,95019567.57
P62736,"Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1",184688770.6,137961737.5,135578655.7,138539586.9,174203864.3,160131855.7,120640515.1,136132004.6,105106003.4,140327438.4,168043565.3
P12277,Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1,101118300.3,80686155.11,79611282.57,92462518.29,90621000.26,96596221.63,74251953.56,97519212.41,65443189.52,82424053.84,103489648.2
P14136,Glial fibrillary acidic protein OS=Homo sapiens OX=9606 GN=GFAP PE=1 SV=1,118777400,87233710.52,68084149.21,89042766.05,79941085.86,94056034.81,31662209.88,130854964.7,51322403.31,53075647.81,46537181.04
P00558,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3,112639709.6,86470115.67,92276323.41,105093931.5,94417939.36,97569667.89,76714925.73,94265371.98,63846539.35,83362165.19,107777283.2
